page,status,has_hero,design_lock_present,no_button_arrows,button_home_standard_lock,chips_home_standard_lock,no_pin_in_nav_or_buttons,no_gray_frame_lock,hero_line_same_position
almoco-morro-da-urca.html,WARN,True,True,True,True,True,False,True,True
almoco.html,WARN,True,True,True,True,True,False,True,True
cafe-da-manha-com-vista-rio-de-janeiro.html,WARN,False,True,True,True,True,False,True,True
cafe-da-manha-pao-de-acucar.html,WARN,True,True,True,True,True,False,True,True
cafe-da-manha.html,WARN,True,True,True,True,True,False,True,True
caipirinha-com-vista-rio.html,WARN,True,True,True,True,True,False,True,True
cardapio.html,WARN,True,True,True,True,True,False,True,True
como-chegar.html,WARN,True,True,True,True,True,False,True,True
contato.html,WARN,False,True,True,True,True,False,True,True
en/almoco-morro-da-urca.html,WARN,True,True,True,True,True,False,True,True
en/almoco.html,WARN,True,True,True,True,True,False,True,True
en/breakfast-with-a-view-rio-de-janeiro.html,WARN,False,True,True,True,True,False,True,True
en/cafe-da-manha-pao-de-acucar.html,WARN,True,True,True,True,True,False,True,True
en/cafe-da-manha.html,WARN,True,True,True,True,True,False,True,True
en/caipirinha-com-vista-rio.html,WARN,True,True,True,True,True,False,True,True
en/cardapio.html,WARN,True,True,True,True,True,False,True,True
en/contato.html,WARN,False,True,True,True,True,False,True,True
en/entardecer.html,WARN,True,True,True,True,True,False,True,True
en/eventos.html,WARN,True,True,True,True,True,False,True,True
en/feijoada-com-vista-rio-de-janeiro.html,WARN,True,True,True,True,True,False,True,True
en/feijoada.html,WARN,True,True,True,True,True,False,True,True
en/gastronomia-carioca.html,WARN,False,True,True,True,True,False,True,True
en/guia-do-rio.html,WARN,True,True,True,True,True,False,True,True
en/how-to-get-there.html,WARN,True,True,True,True,True,False,True,True
en/index.html,WARN,True,True,True,True,True,False,True,True
en/morro-da-urca.html,WARN,False,True,True,True,True,False,True,True
en/nossa-visao.html,WARN,False,True,True,True,True,False,True,True
en/o-que-fazer-depois-do-bondinho-pao-de-acucar.html,WARN,False,True,True,True,True,False,True,True
en/parque-bondinho.html,WARN,False,True,True,True,True,False,True,True
en/por-do-sol-morro-da-urca.html,WARN,True,True,True,True,True,False,True,True
