query,clicks,impressions,ctr,position
embaixada carioca,194,1560,12.44%,1.2
embaixada carioca urca,23,84,27.38%,1.1
restaurante embaixada carioca,23,79,29.11%,1.4
morro da urca,11,3583,0.31%,9.5
restaurante morro da urca,9,185,4.86%,4.2
restaurante no morro da urca,9,105,8.57%,5.7
embaixada carioca morro da urca,8,15,53.33%,1.6
restaurante pao de acucar,8,133,6.02%,3.3
cardápio de embaixada carioca,7,32,21.88%,2.0
embaixada carioca restaurante,7,25,28.00%,1.5
restaurante no pao de açucar rj,6,88,6.82%,4.9
restaurante pão de açucar,6,264,2.27%,4.2
cafe da manha no pao de acucar,5,67,7.46%,6.6
cafe da manha pao de acucar,5,85,5.88%,4.1
avaliações sobre embaixada carioca,4,780,0.51%,3.7
embaixada carioca fotos,4,51,7.84%,1.3
restaurante bondinho,4,74,5.41%,3.5
restaurantes no morro da urca,4,45,8.89%,3.8
cafe da manha na urca,3,135,2.22%,6.3
cafe da manha no bondinho pão de açucar,3,14,21.43%,3.6
embaixada carioca rio de janeiro,3,10,30.00%,1.5
pao de acucar restaurantes,3,28,10.71%,4.2
restaurante bondinho pão de açucar,3,41,7.32%,1.9
restaurante no bondinho do pão de açúcar,3,46,6.52%,1.6
restaurante no pao de acucar,3,55,5.45%,4.9
restaurante no pão de açucar,3,165,1.82%,5.0
restaurante no pão de açúcar rio de janeiro,3,49,6.12%,3.9
restaurante pao de acucar rio de janeiro,3,46,6.52%,4.2
restaurantes morro da urca,3,36,8.33%,3.9
bondinho restaurante,2,10,20.00%,2.0
cafe da manha na urca rj,2,36,5.56%,4.9
cafe da manha urca,2,89,2.25%,6.6
embaixada,2,151,1.32%,2.6
imagens de embaixada carioca,2,52,3.85%,1.0
morro da urca restaurante,2,35,5.71%,3.9
restaurant on sugarloaf mountain rio de janeiro,2,16,12.50%,4.7
restaurante do bondinho,2,13,15.38%,2.9
restaurante do pao de açucar,2,30,6.67%,3.2
restaurante morro da urca bondinho,2,28,7.14%,2.2
restaurante na urca,2,182,1.10%,5.4
restaurante pao de açucar,2,25,8.00%,3.2
almoço pao de acucar,1,17,5.88%,3.5
cafe da manha bondinho,1,22,4.55%,5.2
cafe da manha morro da urca,1,31,3.23%,2.1
cafe da manha mureta da urca,1,4,25.00%,3.8
cafe da manha no bondinho,1,12,8.33%,2.7
cafe da manha no morro da urca,1,13,7.69%,4.8
cafe da manha no pao de acucar rj,1,24,4.17%,6.0
cafe da manha praia vermelha,1,6,16.67%,1.7
cafe da manha urca rj,1,14,7.14%,4.4
