page,lang,status,nav_exists,nav_structure_matches,css_lock_present,old_override_absent,logo_present,menu_present,review_present,language_present,reserve_present,eyebrow_position_lock
almoco-morro-da-urca.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
almoco.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
cafe-da-manha-com-vista-rio-de-janeiro.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
cafe-da-manha-pao-de-acucar.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
cafe-da-manha.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
caipirinha-com-vista-rio.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
cardapio.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
como-chegar.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
contato.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
en/almoco-morro-da-urca.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/almoco.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/breakfast-with-a-view-rio-de-janeiro.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/cafe-da-manha-pao-de-acucar.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/cafe-da-manha.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/caipirinha-com-vista-rio.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/cardapio.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/contato.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/entardecer.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/eventos.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/feijoada-com-vista-rio-de-janeiro.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/feijoada.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/gastronomia-carioca.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/guia-do-rio.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/how-to-get-there.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/index.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/morro-da-urca.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/nossa-visao.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/o-que-fazer-depois-do-bondinho-pao-de-acucar.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/parque-bondinho.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/por-do-sol-morro-da-urca.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/restaurant-at-urca-hill.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/restaurants-near-sugarloaf-mountain.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/roteiro-meio-dia-urca-pao-de-acucar.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/sugarloaf-cable-car-park.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/sugarloaf-cable-car-restaurant.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/sunset.html,en,PASS,True,True,True,True,True,True,True,True,True,True
en/where-to-eat-near-sugarloaf.html,en,PASS,True,True,True,True,True,True,True,True,True,True
entardecer.html,pt-BR,PASS,True,True,True,True,True,True,True,True,True,True
es/almoco-morro-da-urca.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/almoco.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/atardecer.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/cafe-da-manha-pao-de-acucar.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/cafe-da-manha.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/caipirinha-com-vista-rio.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/cardapio.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/como-llegar.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/contato.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/desayuno-con-vista-rio-de-janeiro.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/donde-comer-cerca-del-pan-de-azucar.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/entardecer.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/eventos.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/feijoada-com-vista-rio-de-janeiro.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/feijoada.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/gastronomia-carioca.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/guia-do-rio.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/index.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/morro-da-urca.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/nossa-visao.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/o-que-fazer-depois-do-bondinho-pao-de-acucar.html,es,PASS,True,True,True,True,True,True,True,True,True,True
es/parque-bondinho-pan-de-azucar.html,es,PASS,True,True,True,True,True,True,True,True,True,True
