attempt,workflow,workflow_file,status,score,command_status,reports_found,missing_reports,notes
1,Superholistic visual readability lock,.github/workflows/super-workflow-score-gate.yml,PASS,100.0,0,_audit_reports/superholistic_visual_readability_lock_report.md,,_audit_reports/superholistic_visual_readability_lock_report.md: 100.0
1,Final 86-page AAA master audit,.github/workflows/final-86page-aaa-master-audit.yml,PASS,90.0,0,_audit_reports/final_86page_aaa_master_audit_report.md | _audit_reports/final_86page_aaa_master_audit_details.csv,,_audit_reports/final_86page_aaa_master_audit_report.md: sem score explícito; tratado como 90.0; _audit_reports/final_86page_aaa_master_audit_details.csv: sem score explícito; tratado como 90.0
1,Visual contrast risk audit,.github/workflows/visual-contrast-risk-audit.yml,PASS,90.0,0,_audit_reports/hero_side_frame_final_lock_report.md | _audit_reports/visual_contrast_risk_audit.md,,_audit_reports/hero_side_frame_final_lock_report.md: sem score explícito; tratado como 90.0; _audit_reports/visual_contrast_risk_audit.md: sem score explícito; tratado como 90.0
1,Phase 2 performance SEO audit,.github/workflows/phase2-performance-seo-audit.yml,FAIL,82.0,0,_audit_reports/phase2_quick_fixes_report.md | _audit_reports/visible_text_css_link_report.md | _audit_reports/como_chegar_final_visible_lock_report.md | _audit_reports/phase2_performance_seo_audit.md,,_audit_reports/phase2_quick_fixes_report.md: sem score explícito; tratado como 90.0; _audit_reports/visible_text_css_link_report.md: sem score explícito; tratado como 90.0; _audit_reports/como_chegar_final_visible_lock_report.md: sem score explícito; tratado como 90.0; _audit_reports/phase2_performance_seo_audit.md: 82.0
1,Super site standards SEO audit,.github/workflows/super-site-standards-seo-audit.yml,FAIL,0.0,1,_audit_reports/super_site_standards_seo_audit.md | _audit_reports/super_site_standards_seo_audit_details.csv,,_audit_reports/super_site_standards_seo_audit.md: 0.0; _audit_reports/super_site_standards_seo_audit_details.csv: 64.0
1,Priority keywords AIO score audit,.github/workflows/super-workflow-score-gate.yml,FAIL,0.0,1,_audit_reports/priority_keywords_aio_score_audit.md | _audit_reports/priority_keywords_aio_score_audit.csv | _audit_reports/priority_keywords_aio_score_audit.json,,_audit_reports/priority_keywords_aio_score_audit.md: 0.0; _audit_reports/priority_keywords_aio_score_audit.csv: 58.0; _audit_reports/priority_keywords_aio_score_audit.json: 58.0
1,GSC real organic queries score audit,.github/workflows/super-workflow-score-gate.yml,FAIL,0.0,1,_audit_reports/gsc_real_queries_score_audit.md | _audit_reports/gsc_real_queries_score_audit.csv | _audit_reports/gsc_real_queries_score_audit.json,,_audit_reports/gsc_real_queries_score_audit.md: 0.0; _audit_reports/gsc_real_queries_score_audit.csv: 0.0; _audit_reports/gsc_real_queries_score_audit.json: 0.0
1,Superholistic design UX SEO GEO audit,.github/workflows/super-workflow-score-gate.yml,PASS,92.0,0,_audit_reports/superholistic_design_ux_seo_geo_audit.md | _audit_reports/superholistic_design_ux_seo_geo_audit.csv | _audit_reports/superholistic_design_ux_seo_geo_audit.json,,_audit_reports/superholistic_design_ux_seo_geo_audit.md: 92.0; _audit_reports/superholistic_design_ux_seo_geo_audit.csv: 92.0; _audit_reports/superholistic_design_ux_seo_geo_audit.json: 92.0
2,Superholistic visual readability lock,.github/workflows/super-workflow-score-gate.yml,PASS,100.0,0,_audit_reports/superholistic_visual_readability_lock_report.md,,_audit_reports/superholistic_visual_readability_lock_report.md: 100.0
2,Final 86-page AAA master audit,.github/workflows/final-86page-aaa-master-audit.yml,PASS,90.0,0,_audit_reports/final_86page_aaa_master_audit_report.md | _audit_reports/final_86page_aaa_master_audit_details.csv,,_audit_reports/final_86page_aaa_master_audit_report.md: sem score explícito; tratado como 90.0; _audit_reports/final_86page_aaa_master_audit_details.csv: sem score explícito; tratado como 90.0
