page,status,score,dimension,dimension_score,findings,word_count,h1_count,h2_count,faq_count,internal_links,cta_links,jsonld_types
404.html,PASS,98,Design,90,Opacity baixa detectada; validar texto real. | Sem CSS global de estabilização/contraste.,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,UX,97,Sem skip-nav detectado.,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,Copydesk,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,SEO,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,GEO,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,AEO,92,FAQ visual sem FAQPage JSON-LD.,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,AIO,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,SXO,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,Marketing,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,R2D2,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,Schema,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
404.html,PASS,98,Performance,100,,42,1,0,1,2,3,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebSite
almoco-morro-da-urca.html,PASS,97,Design,84,Risco de texto creme em fundo claro. | Opacity baixa detectada; validar texto real. | Sem CSS global de estabilização/contraste.,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,UX,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,Copydesk,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,SEO,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,GEO,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,AEO,92,FAQ visual sem FAQPage JSON-LD.,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,AIO,85,Sem cobertura literal das keywords prioritárias AIO. | Sem VideoObject em página de experiência/produto.,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,SXO,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,Marketing,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,R2D2,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,Schema,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco-morro-da-urca.html,PASS,97,Performance,100,,633,1,7,14,13,8,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
almoco.html,PASS,96,Design,90,Risco de texto creme em fundo claro. | Opacity baixa detectada; validar texto real.,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,UX,100,,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,Copydesk,100,,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,SEO,95,Title fora da faixa ideal: 74.,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,GEO,100,,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,AEO,92,FAQ visual sem FAQPage JSON-LD.,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,AIO,95,Sem VideoObject em página de experiência/produto.,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,SXO,100,,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,Marketing,100,,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,R2D2,100,,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,Schema,80,Múltiplos aggregateRating: 2.,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
almoco.html,PASS,96,Performance,100,,1231,1,10,26,41,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,Design,84,Risco de texto creme em fundo claro. | Opacity baixa detectada; validar texto real. | Sem CSS global de estabilização/contraste.,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,UX,97,Sem skip-nav detectado.,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,Copydesk,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,SEO,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,GEO,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,AEO,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,AIO,85,Sem cobertura literal das keywords prioritárias AIO. | Sem VideoObject em página de experiência/produto.,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,SXO,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,Marketing,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,R2D2,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,Schema,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-com-vista-rio-de-janeiro.html,PASS,97,Performance,100,,707,1,5,14,19,9,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
cafe-da-manha-pao-de-acucar.html,PASS,97,Design,84,Risco de texto creme em fundo claro. | Opacity baixa detectada; validar texto real. | Sem CSS global de estabilização/contraste.,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,UX,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,Copydesk,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,SEO,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,GEO,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,AEO,92,FAQ visual sem FAQPage JSON-LD.,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,AIO,85,Sem cobertura literal das keywords prioritárias AIO. | Sem VideoObject em página de experiência/produto.,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,SXO,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,Marketing,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,R2D2,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,Schema,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha-pao-de-acucar.html,PASS,97,Performance,100,,733,1,8,14,15,9,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cafe-da-manha.html,PASS,97,Design,90,Risco de texto creme em fundo claro. | Opacity baixa detectada; validar texto real.,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,UX,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,Copydesk,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,SEO,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,GEO,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,AEO,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,AIO,95,Sem VideoObject em página de experiência/produto.,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,SXO,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,Marketing,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,R2D2,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,Schema,80,Múltiplos aggregateRating: 4.,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
cafe-da-manha.html,PASS,97,Performance,100,,1864,1,11,27,42,30,AggregateRating | Answer | BreadcrumbList | FAQPage | FoodEvent | GeoCoordinates | ListItem | LocationFeatureSpecification | OpeningHoursSpecification | Place | PostalAddress | Question | ReserveAction | Restaurant | Schedule | SpeakableSpecification | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,Design,84,Risco de texto creme em fundo claro. | Opacity baixa detectada; validar texto real. | Sem CSS global de estabilização/contraste.,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,UX,100,,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,Copydesk,100,,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,SEO,100,,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,GEO,100,,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
